A	một
Director	giám đốc
Dirt	bẩn
Dirty	dơ bẩn
Disability	khuyết tật
Disabled	tàn tật
Disagree	không đồng ý
Disappear	biến mất
Disappointed	thất vọng
Disappointment	thất vọng
Disaster	thảm họa
Disc	đĩa
Discipline	kỷ luật
Disclose	tiết lộ
Discount	giảm giá
Discourage	gây chán nản cho
Discourse	đàm luận
Discover	khám phá
Discovery	khám phá
Discrimination	kỳ thị
Discuss	bàn luận
Discussion	thảo luận
Disease	dịch bệnh
Dish	món ăn
Disk	đĩa
Dismiss	bỏ qua
Disorder	rối loạn
Display	trưng bày
Dispute	tranh chấp
Dissolve	giải thể
Distance	khoảng cách
Distant	xa xôi
Distinct	khác biệt
Distinction	phân biệt
Distinctive	đặc biệt
Distinguish	phân biệt
Distract	làm mất tập trung
Distribute	phân phát
Distribution	phân phối
District	huyện
Disturb	xáo trộn
Disturbing	phiền
Diverse	phong phú
Diversity	sự đa dạng
Divide	chia
Divine	thần thánh
Division	phân chia
Divorce	ly hôn
Dna	DNA
Do	làm
Dock	bến tàu
Doctor	Bác sĩ
Doctrine	học thuyết
Document	tài liệu
Documentary	phim tài liệu
Dog	chó
Doll	búp bê
Domain	miền
Domestic	trong nước
Dominant	có ưu thế
Dominate	thống trị
Donate	hiến tặng
Donation	Quyên góp
Donor	nhà tài trợ
Door	cửa
Doorway	lối vào
Dose	liều
Dot	dấu chấm
Double	gấp đôi
Doubt	nghi ngờ
Dough	bột
Down	xuống
Downtown	trung tâm thành phố
Dozen	tá
Draft	bản nháp
Drag	kéo
Drain	ráo nước
Drama	kịch
Dramatic	kịch tính
Dramatically	đột ngột
Draw	vẽ tranh
Drawer	ngăn kéo
Drawing	vẽ
Dream	mơ tưởng
Dress	trang phục
Dried	khô
Drift	trôi dạt
Drill	máy khoan
Drink	uống
Drinking	uống
Drive	lái xe
Driver	người lái xe
Driveway	đường lái xe
Driving	điều khiển
Drop	rơi vãi
Drown	chết chìm
Drug	thuốc uống
Drum	trống
Drunk	say
Dry	khô
Duck	con vịt
Due	đến hạn
Dumb	ngớ ngẩn
Dump	đổ
During	suốt trong
Dust	bụi bặm
Dutch	Người Hà Lan
Duty	nhiệm vụ
Dying	chết
Dynamic	năng động
Dynamics	động lực học
Each	mỗi
Eager	hăng hái
Ear	tai
Early	sớm
Earn	kiếm
Earnings	thu nhập
Earth	trái đất
Earthquake	động đất
Ease	giảm bớt
Easily	dễ dàng
East	Đông
Eastern	phương Đông
Easy	dễ dàng
Eat	ăn
Eating	Ăn
Echo	echo
Ecological	sinh thái
Economic	thuộc kinh tế
Economically	kinh tế
Economics	Kinh tế học
Economist	nhà kinh tế học
Economy	nên kinh tê
Ecosystem	hệ sinh thái
Edge	cạnh
Edit	chỉnh sửa
Edition	phiên bản
Editor	người biên tập
Educate	giáo dục
Education	giáo dục
Educational	giáo dục
Educator	nhà giáo dục
Effect	hiệu ứng
Effective	có hiệu lực
Effectively	có hiệu quả
Effectiveness	hiệu quả
Efficiency	hiệu quả
Efficient	hiệu quả
Effort	cố gắng
Egg	trứng
Ego	tự ngã
Eight	tám
Eighth	thứ tám
Either	hoặc
Elaborate	kỹ lưỡng
Elbow	khuỷu tay
Elder	đàn anh
Elderly	người lớn tuổi
Elect	trúng tuyển
Election	cuộc bầu cử
Electric	điện
Electrical	điện
Electricity	điện
Electronic	điện tử
Electronics	thiết bị điện tử
Elegant	thanh lịch
Element	thành phần
Elementary	tiểu học
Elephant	con voi
Elevator	thang máy
Eleven	mười một
Eligible	hội đủ điều kiện
Eliminate	loại bỏ
Elite	ưu tú
Else	khác
Elsewhere	ở nơi khác
Embarrassed	xấu hổ
Embrace	ôm hôn
Emerge	hiện ra
Emergency	trường hợp khẩn cấp
Emerging	mới nổi
Emission	khí thải
Emotion	cảm xúc
Emotional	đa cảm
Emotionally	tình cảm
Emphasis	nhấn mạnh
Emphasize	nhấn mạnh
Empire	đế chế
Employ	thuê
Employee	Nhân viên
Employer	nhà tuyển dụng
Employment	việc làm
Empty	trống
Enable	cho phép
Enact	ban hành
Encounter	gặp gỡ
Encourage	khuyến khích
Encouraging	khuyến khích
End	kết thúc
Endless	bất tận
Endorse	chứng thực
Endure	chịu đựng
Enemy	kẻ thù
Energy	năng lượng
Enforce	thi hành
Enforcement	thực thi
Engage	thuê
Engagement	hôn ước
Engine	động cơ
Engineer	kỹ sư
Engineering	kỹ thuật
English	tiếng Anh
Enhance	nâng cao
Enjoy	thưởng thức
Enormous	to lớn
Enough	đủ
Enroll	ghi danh
Ensure	đảm bảo
Enter	đi vào
Enterprise	doanh nghiệp
Entertainment	sự giải trí
Enthusiasm	hăng hái
Entire	toàn bộ
Entirely	hoàn toàn
Entitle	quyền lợi
Entity	thực thể
Entrance	cổng vào
Entrepreneur	doanh nhân
Entry	nhập cảnh
Envelope	phong bì
Environment	môi trường
Environmental	môi trường
Envision	hình dung
Epidemic	bệnh dịch
Episode	tập phim
Equal	công bằng
Equality	bình đẳng
Equally	bằng nhau
Equation	phương trình
Equip	Trang bị
Equipment	Trang thiết bị
Equity	công bằng
Equivalent	tương đương
Era	kỷ nguyên
Error	lỗi
Escape	thoát khỏi
Especially	đặc biệt
Essay	tiểu luận
Essence	Bản chất
Essential	Cần thiết
Essentially	bản chất
Establish	thành lập
Establishment	thành lập
Estate	bất động sản
Estimate	ước tính
Estimated	ước tính
Etc	vv
Ethical	đạo đức
Ethics	đạo đức
Ethnic	dân tộc
European	Châu Âu
Evaluate	đánh giá
Evaluation	đánh giá
Even	cũng
Evening	tối
Event	biến cố
Eventually	cuối cùng
Ever	không bao giờ
Every	mỗi
Everybody	mọi người
Everyday	mỗi ngày
Everyone	tất cả mọi người
Everything	mọi điều
Everywhere	mọi nơi
Evidence	chứng cớ
Evident	hiển nhiên
Evil	tà ác
Evolution	sự phát triển
Evolve	phát triển
Exact	chính xác
Exactly	chính xác
Exam	thi
Examination	kiểm tra
Examine	xem xét
Example	thí dụ
Exceed	quá
Excellent	Xuất sắc
Except	ngoại trừ
Exception	ngoại lệ
Excessive	quá đáng
Exchange	trao đổi, giao dịch
Excited	bị kích thích
Excitement	sự phấn khích
Exciting	thú vị
Exclude	loại trừ
Exclusive	độc quyền
Exclusively	duy nhất
Excuse	tha
Execute	thi hành
Execution	chấp hành
Executive	điều hành
Exercise	tập thể dục
Exhaust	thoát ra
Exhibit	triển lãm
Exhibition	triển lãm
Exist	hiện hữu
Existence	sự tồn tại
Existing	hiện tại
Exit	lối thoát
Exotic	kỳ lạ
Expand	mở rộng
Expansion	sự bành trướng
Expect	chờ đợi
Expectation	sự mong đợi
Expected	kỳ vọng
Expedition	thám hiểm
Expense	chi phí
Expensive	đắt
Experience	kinh nghiệm
Experienced	có kinh nghiệm
Experiment	thí nghiệm
Experimental	thử nghiệm
Expert	chuyên gia
Expertise	chuyên môn
Explain	giải thích
Explanation	giải trình
Explicit	rõ ràng
Explo de	nổ tung
Exploit	khai thác
Exploration	thăm dò
Explore	khám phá
Explosion	nổ
Export	xuất khẩu
Expose	lộ ra
Exposure	Phơi bày
Express	bày tỏ
Expression	biểu hiện
Extend	mở rộng
Extended	mở rộng
Extension	sự mở rộng
Extensive	sâu rộng
Extent	phạm vi
External	bên ngoài
Extra	thêm
Extraordinary	bất thường
Extreme	cực
Extremely	vô cùng
Eye	mắt
Eyebrow	lông mày
Fabric	vải
Face	khuôn mặt ,đối mặt
Facilitate	tạo điều kiện
Facility	cơ sở
Fact	thực tế
Factor	hệ số
Factory	nhà máy
Faculty	giảng viên
Fade	phai màu
Fail	Thất bại
Failure	thất bại
Faint	mờ nhạt
Fair	hội chợ
Fairly	công bằng
Faith	đức tin
Fall	ngã
False	sai
Fame	danh tiếng
Familiar	quen
Family	gia đình
Famous	nổi danh
Fan	quạt
Fantastic	tuyệt diệu
Fantasy	tưởng tượng
Far	xa
Fare	giá vé
Farm	nông trại
Farmer	nông phu
Fascinating	hấp dẫn
Fashion	thời trang
Fast	Nhanh
Faster	nhanh hơn
Fat	mập
Fatal	gây tử vong
Fate	số phận
Father	cha
Fatigue	mệt mỏi
Fault	lỗi
Favor	ủng hộ
Favorable	thuận lợi
Favorite	yêu thích
Fear	nỗi sợ
Feather	lông vũ
Feature	đặc tính
Federal	liên bang
Fee	chi phí
Feed	nuôi
Feedback	Phản hồi
Feel	cảm thấy
Feeling	cảm giác
Fellow	đồng bào
Female	giống cái
Feminist	nữ quyền sĩ
Fence	hàng rào
Festival	lễ hội
Fever	sốt
Few	vài
Fewer	ít hơn
Fiber	chất xơ
Fiction	viễn tưởng
Field	cánh đồng
Fierce	khốc liệt
Fifteen	mười lăm
Fifth	thứ năm
Fifty	năm mươi
Fight	chiến đấu
Fighter	đấu sĩ
Fighting	trận đánh
Figure	nhân vật
File	tập tin
Fill	lấp đầy
Film	phim ảnh
Filter	lọc
Final	sau cùng
Finally	cuối cùng
Finance	tài chính
Financial	tài chính
Find	tìm thấy
Finding	Phát hiện
Fine	khỏe
Finger	ngón tay
Finish	hoàn thành
Fire	ngọn lửa
Firm	chắc chắn
Firmly	vững chắc
First	Đầu tiên
Fiscal	tài chính
Fish	cá
Fisherman	ngư dân
Fishing	đánh bắt cá
Fist	nắm tay
Fit	Phù hợp
Fitness	sự tập thể dục
Five	số năm
Fix	sửa chữa
Fixed	đã sửa
Flag	cờ
Flame	ngọn lửa
Flash	đèn flash
Flat	bằng phẳng
Flavor	hương vị
Flee	chạy trốn
Fleet	hạm đội
Flesh	xác thịt
Flexibility	Mềm dẻo
Flexible	linh hoạt
Flight	chuyến bay
Flip	lật
Float	phao
Flood	lũ
Floor	sàn nhà
Flour	bột mì
Flow	lưu lượng
Flower	hoa
Fluid	chất lỏng
Fly	bay
Flying	bay
Focus	tiêu điểm
Fog	sương mù
Fold	gập lại
Folk	dân gian
Follow	theo
Following	tiếp theo
Food	món ăn
Fool	ngu xuẩn
Foot	chân
Football	bóng đá
For	cho
Forbid	ngăn cấm
Force	lực lượng
Forehead	trán
Foreign	ngoại quốc
Foreigner	người nước ngoài
Forest	rừng
Forever	mãi mãi
Forget	quên
Forgive	tha lỗi
Fork	cái nĩa
Form	hình thức
Formal	chính thức
Format	định dạng
Formation	sự hình thành
Former	trước đây
Formerly	trước kia
Formula	công thức
Forth	ra
Fortunately	may mắn
Fortune	vận may
Forty	bốn mươi
Forum	diễn đàn
Forward	phía trước
Foster	nuôi dưỡng
Found	tìm
Foundation	nền tảng
Founder	người sáng lập
Four	bốn
Fourth	thứ tư
Fraction	phân số
Fragile	mong manh
Fragment	miếng
Frame	khung
Framework	khuôn khổ
Franchise	nhượng quyền thương mại
Frankly	thẳng thắn
Fraud	gian lận
Free	miễn phí
Freedom	sự tự do
Freely	tự do
Freeze	Đông cứng
French	người Pháp
Frequency	tần số
Frequent	Thường xuyên
Frequently	thường xuyên
Fresh	tươi
Freshman	sinh viên năm nhất
Friend	người bạn
Friendly	thân thiện
Friendship	hữu nghị
From	từ
Front	trước mặt
Frontier	biên giới
Frown	nhăn mặt
Frozen	đông lạnh
Fruit	trái cây
Frustrate	thất vọng
Fucking	fucking
Fuel	nhiên liệu
Full	đầy
Full-time	toàn thời gian
Fully	đầy đủ
Fun	vui vẻ
Function	chức năng, hàm
Functional	chức năng
Fund	quỹ
Fundamental	căn bản
Funding	kinh phí
Funeral	tang lễ
Funny	buồn cười
Fur	lông thú
Furniture	đồ nội thất
Furthermore	hơn nữa
Future	Tương lai
Gain	thu được
Galaxy	Thiên hà
Gallery	bộ sưu tập
Game	trò chơi
Gang	băng nhóm
Gap	lỗ hổng
Garage	gara
Garbage	rác thải
Garden	vườn
Garlic	tỏi
Gas	khí đốt
Gasoline	xăng
Gate	cánh cổng
Gather	tụ họp
Gathering	thu thập
Gay	gay
Gaze	nhìn chằm chằm
Gear	Hộp số
Gender	giới tính
Gene	gen
General	chung
Generally	nói chung là
Generate	tạo ra
Generation	thế hệ
Generous	hào phóng
Genetic	di truyền
Genius	Thiên tài
Genre	thể loại
Gentle	dịu dàng
Gentleman	quý ông
Gently	dịu dàng
Genuine	chính hãng
German	tiếng Đức
Gesture	cử chỉ
Get	được
Ghost	ma
Giant	khổng lồ
Gift	quà tặng
Gifted	năng khiếu
Girl	con gái
Girlfriend	bạn gái
Give	đưa cho
Given	được
Glad	vui vẻ
Glance	nháy mắt
Glass	ly
Glimpse	nhìn thoáng qua
Global	toàn cầu
Globe	quả địa cầu
Glory	vinh quang
Glove	găng tay
Go	đi
Goal	mục tiêu
Goat	con dê
God	thần
Gold	vàng
Golden	vàng
Golf	golf
Good	tốt
Govern	quản lý
Government	chính quyền
Governor	thống đốc
Grab	vồ lấy
Grace	ân sủng
Grade	cấp
Gradually	dần dần
Graduate	tốt nghiệp
Graduation	tốt nghiệp
Grain	ngũ cốc
Grand	lớn
Grandchild	cháu ngoại
Grandfather	ông nội
Grandmother	bà ngoại
Grandparent	ông bà
Grant	ban cho
Grape	giống nho
Grasp	sự hiểu biết
Grass	cỏ
Grateful	tri ân
Grave	phần mộ
Gravity	nghiêm trọng
Gray	màu xám
Great	tuyệt quá
Greatest	vĩ đại nhất
Greatly	rất nhiều
Greek	người Hy Lạp
Green	màu xanh lá
Greet	chào hỏi
Grief	đau buồn
Grin	nụ cười
Grip	nắm chặt
Grocery	tạp hóa
Gross	Tổng
Ground	đất
Group	nhóm
Grow	lớn lên
Growing	phát triển
Growth	sự phát triển
Guarantee	Bảo hành
Guard	bảo vệ
Guess	phỏng đoán
Guest	khách
Guidance	hướng dẫn
Guide	hướng dẫn
Guideline	hướng dẫn
Guilt	tội lỗi
Guilty	tội lỗi
Guitar	đàn ghi ta
Gun	súng
Gut	ruột
Guy	chàng
Gym	phòng thể dục
Ha	ha
Habit	thói quen
Habitat	môi trường sống
Hair	tóc
Half	một nửa
Halfway	nửa chừng
Hall	đại sảnh
Hallway	hành lang
Hand	tay
Handful	ít
Handle	xử lý
Handsome	đẹp
Hang	treo
Happen	xảy ra
Happily	hạnh phúc
Happiness	hạnh phúc
Happy	vui mừng
Harassment	quấy rối
Hard	cứng
Hardly	khó khăn
Hardware	phần cứng
Harm	làm hại
Harmony	hòa hợp
Harsh	khắc nghiệt
Harvest	mùa gặt
Hat	nón
Hate	ghét bỏ
Haul	lôi
Have	có
Hazard	nguy hiểm
He	anh ta
Head	cái đầu
Headache	đau đầu
Headline	tiêu đề
Headquarters	trụ sở chính
Heal	chữa lành
Health	Sức khỏe
Healthy	khỏe mạnh
Hear	Nghe
Hearing	thính giác
Heart	tim
Heat	nhiệt
Heaven	thiên đường
Heavily	nặng nề
Heavy	nặng
Heel	gót chân
Height	Chiều cao
Helicopter	máy bay trực thăng
Hell	Địa ngục
Hello	xin chào
Helmet	mũ bảo hiểm
Help	Cứu giúp
Helpful	Hữu ích
Hence	vì thế
Her	cô ấy
Herb	thảo mộc
Here	đây
Heritage	gia tài
Hero	anh hùng
Hers	của cô ấy
Herself	cô ấy
Hesitate	do dự
Hey	Chào
Hi	Chào
Hidden	ẩn
Hide	ẩn giấu
High	cao
High-tech	công nghệ cao
Highlight	Điểm nổi bật
Highly	cao
Highway	Xa lộ
Hike	đi lang thang
Hill	đồi núi
Him	anh ta
Himself	bản thân anh ấy
Hint	dấu
Hip	hông
Hire	thuê mướn
His	của anh ấy
Hispanic	Người Hispanic
Historian	nhà sử học
Historic	mang tính lịch sử
Historical	lịch sử
History	lịch sử
Hit	đánh
Hockey	khúc côn cầu
Hold	giữ
Hole	lỗ
Holiday	ngày lễ
Holy	thánh
Home	nhà
Homeland	quê hương
Homeless	Vô gia cư
Homework	bài tập về nhà
Honest	thật thà
Honestly	thành thật
Honey	mật ong
Honor	tôn vinh
Hook	cái móc
Hope	mong
Hopefully	hy vọng
Horizon	đường chân trời
Hormone	hoocmon
Horn	sừng
Horrible	kinh khủng
Horror	kinh dị
Horse	con ngựa
Hospital	bệnh viện
Host	chủ nhà
Hostage	con tin
Hostile	Hostile
Hot	nóng bức
Hotel	khách sạn
Hour	giờ
House	nhà ở
Household	hộ gia đình
Housing	nhà ở
How	làm sao
However	Tuy nhiên
Hp	hãng máy tính hp
Hug	ôm
Huge	khổng lồ
Huh	Huh
Human	Nhân loại
Humanity	nhân loại
Humor	hài hước
Hundred	hàng trăm
Hunger	đói
Hungry	đói bụng
Hunt	săn bắn
Hunter	thợ săn
Hunting	săn bắn
Hurricane	bão
Hurry	vội
Hurt	đau
Husband	người chồng
Hypothesis	giả thuyết
I	tôi
Ice	Nước đá
Icon	biểu tượng
Idea	ý kiến
Ideal	lý tưởng
Identical	giống nhau
Identification	nhận biết
Identify	nhận định
Ideological	ý thức hệ
Ideology	hệ tư tưởng
Ie	nghĩa là
If	nếu
Ignore	bỏ qua
Ill	bệnh
Illegal	bất hợp pháp
Illness	bệnh
Illusion	ảo giác
Illustrate	Minh họa
Image	hình ảnh
Imagination	trí tưởng tượng
Imagine	tưởng tượng
Immediate	ngay lập tức
Immediately	ngay
Immigrant	di trú
Immigration	nhập cư
Immune	miễn dịch
Impact	va chạm
Implement	thực hiện
Implementation	thực hiện
Implication	hàm ý
Imply	ngụ ý
Import	nhập khẩu
Importance	tầm quan trọng
Important	quan trọng
Importantly	quan trọng
Impose	áp đặt
Impossible	Không thể nào
Impress	gây ấn tượng
Impression	ấn tượng
Impressive	ấn tượng
Improve	cải tiến
Improved	cải tiến
Improvement	cải tiến
Impulse	thúc đẩy
In	trong
Incentive	khuyến khích
Incident	biến cố
Include	bao gồm
Including	kể cả
Income	thu nhập
Incorporate	kết hợp
Increase	tăng
Increased	tăng
Increasing	tăng
Increasingly	ngày càng
Incredible	đáng kinh ngạc
Incredibly	vô cùng
Indeed	thật
Independence	độc lập
Independent	độc lập
Index	mục lục
Indian	người Ấn Độ
Indicate	biểu thị
Indication	dấu hiệu
Indicator	chỉ thị
Indigenous	bản địa
Individual	cá nhân
Industrial	công nghiệp
Industry	ngành công nghiệp
Inevitable	chắc chắn xảy ra
Inevitably	chắc chắn
Infant	trẻ sơ sinh
Infection	nhiễm trùng
Inflation	lạm phát
Influence	ảnh hưởng
Influential	có ảnh hưởng
Inform	thông báo
Informal	không chính thức
Information	thông tin
Infrastructure	cơ sở hạ tầng
Ingredient	thành phần
Inherent	vốn có
Inherit	thừa kế
Initial	ban đầu
Initially	ban đầu
Initiate	bắt đầu
Initiative	sáng kiến
Injure	làm bị thương
Injury	chấn thương
Inmate	tù nhân
Inner	bên trong
Innocent	vô tội
Innovation	đổi mới
Innovative	sáng tạo
Input	đầu vào
Inquiry	yêu cầu
Insect	côn trùng
Insert	chèn
Inside	phía trong
Insight	cái nhìn sâu sắc
Insist	năn nỉ
Inspection	kiểm tra
Inspector	thanh tra
Inspiration	cảm hứng
Inspire	truyền cảm hứng
Install	cài đặt, dựng lên
Installation	cài đặt
Instance	ví dụ
Instant	tức thời
Instantly	ngay lập tức
Instead	thay thế
Instinct	bản năng
Institution	tổ chức
Institutional	thể chế
Instruct	dạy
Instruction	chỉ dẫn
Instructional	hướng dẫn
Instructor	giảng viên
Instrument	dụng cụ
Insurance	bảo hiểm
Intact	nguyên vẹn
Integrate	tích hợp
Integrated	tích hợp
Integration	hội nhập
Integrity	chính trực
Intellectual	trí tuệ
Intelligence	Sự thông minh
Intelligent	thông minh
Intend	dự định
Intense	cường độ cao
Intensity	cường độ
Intent	ý định
Intention	ý định
Interact	tương tác
Interaction	sự tương tác
Interest	quan tâm
Interested	quan tâm
Interesting	hấp dẫn
Interfere	gây trở ngại
Interior	Nội địa
Internal	bên trong
International	quốc tế
Internet	Internet
Interpret	thông dịch
Interpretation	diễn dịch
Interrupt	làm gián đoạn
Interval	khoảng thời gian
Intervention	can thiệp
Interview	phỏng vấn
Intimate	thân mật
Into	vào
Introduce	giới thiệu
Introduction	Giới thiệu
Invade	xâm chiếm
Invasion	cuộc xâm lăng
Invent	phát minh
Invention	sự phát minh
Inventory	hàng tồn kho
Invest	đầu tư
Investigate	điều tra
Investigation	cuộc điều tra
Investigator	điều tra viên
Investment	đầu tư
Investor	nhà đầu tư
Invisible	vô hình
Invitation	lời mời
Invite	mời gọi
Involve	liên quan
Involved	có tính liên quan
Involvement	sự tham gia
Iraqi	Iraqi
Irish	Người Ailen
Iron	bàn là
Ironically	trớ trêu thay
Irony	mỉa mai
Islam	đạo Hồi
Islamic	Hồi giáo
Island	Đảo
Isolate	cô lập
Isolated	bị cô lập
Isolation	cô lập
Israeli	Israeli
Issue	vấn đề
It	nó
Italian	người Ý
Item	mục
Its	của nó
Itself	chinh no
Jacket	Áo khoác
Jail	nhà giam
Japanese	tiếng Nhật
Jar	lọ
Jaw	hàm
Jazz	jazz
Jeans	Quần jean
Jet	máy bay phản lực
Jew	Người Do Thái
Jewelry	đồ trang sức
Jewish	Người Do thái
Job	việc làm
Join	tham gia
Joint	chung
Joke	đùa
Journal	tạp chí
Journalism	báo chí
Journalist	nhà báo
Journey	hành trình
Joy	vui sướng
Judge	thẩm phán
Judgment	phán đoán
Judicial	tư pháp
Juice	Nước ép
Jump	nhảy
Jungle	rừng nhiệt đới
Junior	em
Jurisdiction	quyền hạn
Juror	bồi thẩm đoàn
Jury	ban bồi thẩm
Just	chỉ
Justice	Sự công bằng
Justify	biện hộ
Keep	giữ
Key	Chìa khóa
Kick	đá
Kid	đứa trẻ
Kill	giết chết
Killer	sát thủ
Killing	giết chết
Kind	loại
King	nhà vua
Kingdom	Vương quốc
Kiss	hôn
Kit	bộ dụng cụ
Kitchen	phòng bếp
Knee	đầu gối
Kneel	quỳ xuống
Knife	dao
Knock	đánh
Know	biết
Knowledge	hiểu biết
Known	nổi tiếng
Korean	Hàn Quốc
Lab	phòng thí nghiệm
Label	nhãn
Labor	lao động
Laboratory	phòng thí nghiệm
Lack	thiếu sót
Ladder	thang
Lady	quý bà
Lake	hồ
Lamp	đèn
Land	đất đai
Landing	đổ bộ
Landmark	mốc
Landscape	phong cảnh
Lane	lane
Language	ngôn ngữ
Lap	vòng
Large	lớn
Largely	phần lớn
Laser	laser
Last	Cuối cùng
Late	muộn
Lately	gần đây
Later	một lát sau
Latin	Latin
Latter	sau này
Laugh	cười
Laughter	tiếng cười
Launch	phóng
Laundry	giặt ủi
Law	pháp luật
Lawmaker	nhà lập pháp
Lawn	bãi cỏ
Lawsuit	kiện tụng
Lawyer	luật sư
Lay	đặt nằm
Layer	lớp
Lead	chì
Leader	lãnh đạo
Leadership	khả năng lãnh đạo
Leading	dẫn đầu
Leaf	lá
League	liên đoàn
Lean	nạc
Leap	nhảy vọt
Learn	học hỏi
Learning	học tập
Least	ít nhất
Leather	da
Leave	rời khỏi
Lecture	bài học
Left	trái
Leg	Chân
Legacy	di sản
Legal	hợp pháp
Legally	hợp pháp
Legend	huyền thoại
Legislation	pháp luật
Legislative	lập pháp
Legislator	nhà lập pháp
Legislature	cơ quan lập pháp
Legitimate	hợp pháp
Lemon	Chanh
Lend	cho vay
Length	chiều dài
Lens	ống kính
Less	ít hơn
Lesson	bài học
Let	để cho
Letter	lá thư
Level	cấp độ
Liability	trách nhiệm pháp lý
Liberal	tự do
Liberty	tự do
Library	thư viện
License	giấy phép
Lid	Nắp
Lie	nói dối
Life	đời sống
Lifestyle	lối sống
Lifetime	cả đời
Lift	thang máy
Light	ánh sáng
Lighting	thắp sáng
Lightly	nhẹ nhàng
Lightning	sét đánh
Like	như
Likelihood	khả năng
Likely	có khả năng
Likewise	tương tự
Limb	chân tay
Limit	giới hạn
Limitation	giới hạn
Limited	giới hạn
Line	hàng
Link	liên kết
Lion	sư tử
Lip	môi
Liquid	chất lỏng
List	danh sách
Listen	nghe
Listener	người nghe
Literally	nghĩa đen
Literary	văn chương
Literature	văn chương
Little	một ít
Live	trực tiếp
Liver	Gan
Living	sống
Load	tải trọng
Loan	tiền vay
Lobby	sảnh đợi
Local	địa phương
Locate	định vị
Location	vị trí
Lock	Khóa
Log	đăng nhập
Logic	logic
Logical	hợp lý
Lonely	cô đơn
Long	Dài
Long-term	dài hạn
Longtime	thời gian dài
Look	nhìn
Loop	vòng lặp
Loose	lỏng lẻo
Lose	thua
Loss	mất mát
Lost	mất đi
Lot	nhiều
Lots	rất nhiều
Loud	to tiếng
Love	yêu
Lovely	đáng yêu
Lover	người yêu
Low	thấp
Lower	thấp hơn
Loyal	trung thành
Loyalty	lòng trung thành
Luck	may mắn
Lucky	may mắn
Lunch	Bữa trưa
Lung	phổi
Machine	máy móc
Mad	điên
Magazine	tạp chí
Magic	ma thuật
Magnetic	từ tính
Magnitude	độ lớn
Mail	thư
Main	chủ yếu
Mainly	chủ yếu
Mainstream	dòng chính
Maintain	duy trì
Maintenance	bảo trì
Major	chính
Majority	đa số
Make	chế tạo
Maker	nhà sản xuất
Makeup	trang điểm
Male	Nam giới
Mall	trung tâm mua sắm
Man	Đàn ông
Manage	quản lý
Management	sự quản lý
Manager	giám đốc
Managing	quản lý
Mandate	ủy nhiệm
Manipulate	vận dụng
Manner	cách thức
Mansion	biệt thự
Manual	sổ tay
Manufacturer	nhà chế tạo
Manufacturing	chế tạo
Many	nhiều
Map	bản đồ
Marble	đá hoa
March	tháng Ba
Margin	lề
Marine	biển
Mark	dấu
Marker	đánh dấu
Market	thị trường
Marketing	tiếp thị
Marketplace	thương trường
Marriage	kết hôn
Married	cưới nhau
Marry	kết hôn
Mask	mặt nạ
Mass	khối lượng
Massive	to lớn
Master	bậc thầy
Match	trận đấu
Mate	người bạn đời
Material	vật chất
Math	môn Toán
Mathematics	toán học
Matter	vấn đề
Maximum	tối đa
May	Tháng Năm
Maybe	có lẽ
Mayor	thị trưởng
Me	tôi
Meal	bữa ăn
Mean	nghĩa là
Meaning	Ý nghĩa
Meaningful	có ý nghĩa
Means (pl)	nghĩa là (PL)
Meantime	thời gian chờ đợi
Meanwhile	trong khi đó
Measure	đo
Measurement	phép đo
Meat	thịt
Mechanic	thợ cơ khí
Mechanical	cơ khí
Mechanism	cơ chế
Medal	huy chương
Media	phương tiện truyền thông
Medical	Y khoa
Medication	thuốc men
Medicine	dược phẩm
Medium	Trung bình
Meet	gặp
Meeting	gặp gỡ
Melt	tan chảy
Member	hội viên
Membership	thành viên
Memory	ký ức
Mental	tâm thần
Mentally	tinh thần
Mention	đề cập đến
Mentor	người cố vấn
Menu	thực đơn
Merchant	thương gia
Mere	chỉ là
Merely	đơn thuần
Merit	n
Mess	lộn xộn
Message	thông điệp
Metal	kim loại
Metaphor	phép ẩn dụ
Meter	mét
Method	phương pháp
Metropolitan	đô thị
Mexican	Mexico
Middle	ở giữa
Middle-class	tầng lớp trung lưu
Midnight	nữa đêm
Midst	giữa
Might	có thể
Migration	di cư
Mild	nhẹ nhàng
Military	quân đội
Milk	Sữa
Mill	cối xay
Million	triệu
Mind	lí trí
Mine	tôi
Mineral	khoáng sản
Minimal	tối thiểu
Minimize	giảm thiểu
Minimum	tối thiểu
Minister	bộ trưởng, mục sư
Ministry	Bộ
Minor	diễn viên phụ
Minority	thiểu số
Minute	phút
Miracle	phép màu
Mirror	gương
Miss	bỏ lỡ
Missile	tên lửa
Missing	mất tích
Mission	sứ mệnh
Missionary	nhà truyền giáo
Mistake	sai lầm
Mix	pha trộn
Mixed	pha trộn
Mixture	hỗn hợp
Mm-hmm	mm-hmm
Mobile	di động
Mode	chế độ
Model	mô hình
Moderate	vừa phải
Modern	hiện đại
Modest	khiêm tốn
Modify	sửa đổi
Molecule	phân tử
Mom	mẹ
Moment	chốc lát
Momentum	Đà
Money	tiền bạc
Monitor	giám sát
Monkey	con khỉ
Monster	quái vật
Month	tháng
Monthly	hàng tháng
Monument	tượng đài
Mood	khí sắc
Moon	mặt trăng
Moral	đạo đức
More	hơn
Moreover	hơn thế nữa
Morning	buổi sáng
Mortality	tử vong
Mortgage	thế chấp
